throw_index,timestamp
1,00:02:48.95
2,00:03:04.50
3,00:03:18.91
4,00:03:30.54
5,00:03:55.91
6,00:04:16.44
7,00:04:37.89
8,00:05:02.60
9,00:05:18.98
10,00:05:26.55
11,00:05:49.23
12,00:06:02.05
13,00:06:28.86
14,00:06:47.32
15,00:07:10.94
16,00:07:20.40
17,00:07:56.87
18,00:08:11.82
19,00:08:27.99
20,00:08:44.20
21,00:09:13.79
22,00:09:27.84
23,00:09:50.56
24,00:10:03.48
25,00:10:25.43
26,00:10:33.14
27,00:10:57.05
28,00:11:09.70
29,00:11:46.30
30,00:12:03.09
31,00:12:28.69
32,00:12:40.45
33,00:17:42.79
34,00:18:03.08
35,00:18:26.33
36,00:18:40.68
37,00:19:05.85
38,00:19:23.16
39,00:19:41.36
40,00:19:51.32
41,00:20:16.93
42,00:20:33.20
43,00:20:53.46
44,00:21:13.12
45,00:21:33.55
46,00:21:42.09
47,00:21:57.73
48,00:22:13.83
49,00:22:34.98
50,00:22:47.44
51,00:23:05.17
52,00:23:18.03
53,00:23:55.76
54,00:23:43.24
55,00:24:14.62
56,00:24:23.62
57,00:24:55.84
58,00:25:07.93
59,00:25:27.32
60,00:25:37.55
61,00:25:54.92
62,00:26:08.74
63,00:26:35.38
64,00:26:58.20
